Hojuelas	Holop	Hongo
1	0	1
2	0	1
3	0	1
4	0	1
5	0	1
6	0	1
7	0	1
8	0	1
9	0	1
10	0	1
11	0	1
12	0	1
13	0	1
14	0	1
15	0	1
16	0	1
17	0	1
18	0	1
19	0	1
20	0	1
21	0	1
22	0	1
23	1	1
24	1	1
25	1	1
26	1	1
27	0	1
28	0	1
29	0	1
30	0	1
31	0	1
32	0	1
33	0	1
34	0	1
35	0	1
36	0	1
37	0	1
38	0	1
39	0	1
40	0	1
41	0	1
42	0	1
43	0	1
44	0	1
45	0	1
46	0	1
47	0	1
48	0	1
49	0	1
50	0	1
51	0	1
52	0	1
53	0	1
54	0	1
55	0	1
56	0	1
57	0	1
58	0	1
59	0	1
60	0	1
61	0	1
62	0	1
63	1	1
64	1	1
65	1	1
66	1	1
67	0	0
68	0	1
69	0	1
70	0	1
71	0	1
72	0	1
73	0	1
74	0	1
75	0	1
76	0	1
77	0	1
78	0	1
79	0	1
80	1	0
81	0	1
82	0	1
83	0	1
84	0	1
85	0	1
86	0	1
87	0	1
88	0	1
89	0	1
90	0	1
91	1	1
92	1	1
93	1	1
94	1	1
95	1	1
96	0	1
97	0	1
98	0	1
99	0	1
100	1	1
101	0	1
102	0	1
103	1	1
104	1	1
105	1	1
106	0	1
107	0	1
108	0	1
109	0	1
110	0	1
111	0	1
112	0	1
113	0	1
114	0	1
115	0	1
116	0	1
117	0	1
118	0	1
119	1	1
120	1	1
121	1	1
122	0	1
123	1	1
124	1	1
125	1	0
126	1	1
127	1	1
128	1	1
129	0	1
130	0	1
131	0	1
132	0	1
133	0	1
134	0	1
135	0	1
136	1	1
137	1	1
138	0	1
139	1	0
140	0	1
141	1	1
142	1	0
143	0	1
144	0	1
145	0	0
146	1	1
147	1	1
148	0	1
149	0	1
150	0	1
151	0	1
152	1	1
153	1	1
154	0	1
155	1	0
156	1	0
157	1	0
158	1	0
159	1	0
160	1	0
161	1	0
162	1	0
163	1	0
164	1	1
165	1	1
166	1	1
167	0	1
168	1	1
169	0	1
170	0	0
171	1	1
172	1	1
173	0	1
174	0	1
175	0	1
176	0	1
177	0	1
178	0	1
179	0	1
180	0	1
181	0	1
182	0	1
183	0	1
184	0	1
185	0	1
186	0	1
187	0	1
188	0	1
189	0	1
190	0	1
191	0	1
192	0	1
193	0	1
194	1	1
195	1	1
196	1	1
197	1	1
198	1	1
199	1	1
200	1	1
201	1	1
202	1	1
203	1	1
204	1	1
205	1	1
206	1	1
207	1	1
208	1	1
209	1	1
210	1	1
211	1	1
212	1	1
213	1	1
214	1	1
215	0	1
216	1	1
217	0	0
218	0	0
219	1	1
220	1	1
221	1	1
222	1	1
223	1	0
224	0	1
225	1	0
226	1	0
227	1	0
228	1	0
229	1	1
230	1	1
231	1	1
232	1	1
233	0	1
234	0	1
235	0	1
236	0	1
237	0	1
238	0	1
239	1	1
240	1	0
241	0	1
242	0	1
243	1	0
244	1	0
245	0	1
246	0	1
247	0	0
248	0	0
249	0	1
250	0	1
251	1	1
252	0	1
253	0	1
254	0	1
255	0	1
